id,from,to,kind,net,od_mm,bend_min_mm,length_mm,cut_length_proposal_mm,rating,notes
C02,F-COIL.OUT,CTRL-TB.S0,control,C02,2.6,10.4,753.1,870,TBD,
HANDLE-0,CTRL-TB.S0,E-STOP.1,control,HANDLE-0,2.6,10.4,1278.3,1480,TBD,External clamped cable + hinge service loop. Full folding kinematics not validated; only deployed pose supplied.
HANDLE-1,CTRL-TB.S1,E-STOP.2,control,HANDLE-1,2.6,10.4,1292.8,1490,TBD,External clamped cable + hinge service loop. Full folding kinematics not validated; only deployed pose supplied.
HANDLE-2,CTRL-TB.S2,RESET.2,control,HANDLE-2,2.6,10.4,1236.3,1430,TBD,External clamped cable + hinge service loop. Full folding kinematics not validated; only deployed pose supplied.
C-HANDLE,E-STOP.2,RESET.1,control,C-HANDLE,2.6,10.4,127.6,150,TBD,
C03,CTRL-TB.S1,K1.AUX1,control,C03,2.6,10.4,577.0,670,TBD,
C04,CTRL-TB.S2,K1.A1,control,C04,2.6,10.4,420.8,490,TBD,
C05,K1.AUX2,K1.A1,control,C05,2.6,10.4,295.8,350,TBD,NO auxiliary contact in parallel with momentary RESET. Suppressor across coil must be selected for drop-out requirements.
C06,K1.A2,BUS-.3,control,C06,2.6,10.4,387.9,450,TBD,
V01,BUS+.3,F-SENSE.IN,sense,V01,1.7,6.8,235.2,280,TBD,
V02,F-SENSE.OUT,INA226.VBUS,sense,V02,1.7,6.8,799.8,920,TBD,VBUS access must be confirmed on the purchased board. R010 current shunt remains OUT of the motor path.
V03,BUS-.3,INA226.GND,sense,V03,1.7,6.8,862.1,1000,TBD,VBUS access must be confirmed on the purchased board. R010 current shunt remains OUT of the motor path.
